Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.589720421016114,0.513763622588696,0.618020730918636,-1.12121634961423,-1.03095648939375,-1.40855839290442
01/15/1971,0.621619628763486,0.577079815608781,0.647325723834807,-1.12303368055788,-1.0488293765264,-1.42523337241711
01/22/1971,0.658645416255075,0.658581880860962,0.682124475707661,-1.12614723940988,-1.06534260499818,-1.4402101284548
01/29/1971,0.699330128516184,0.748792670830066,0.72103111764029,-1.13101592381783,-1.0798568692865,-1.45313143579997
02/05/1971,0.742388990470772,0.838375626645364,0.762955694084088,-1.13812486585839,-1.09188053928879,-1.46369291031187
02/12/1971,0.785524991667404,0.916315551184256,0.805784221416379,-1.14800187830844,-1.10083219925879,-1.471662015968
02/19/1971,0.8276986530159,0.974518332859305,0.848754094476836,-1.16119078733566,-1.10628806571124,-1.4768814750415
02/26/1971,0.869357039465731,1.01024508097578,0.892389696356161,-1.178227546532,-1.10764080135933,-1.47926871056792
03/05/1971,0.912075439457726,1.02672835123664,0.938551383858872,-1.19960979376,-1.10466052053311,-1.47882064124697
03/12/1971,0.957879885569517,1.03068725143477,0.989279555472864,-1.22577985664487,-1.09688120671575,-1.47560659223543
03/19/1971,1.0089051105579,1.03433286518204,1.04684082254687,-1.25706111291277,-1.08418822523782,-1.46976514700893
03/26/1971,1.06738624608862,1.05504277569347,1.11335423037602,-1.29355904966028,-1.06647693116442,-1.4615001411145
04/02/1971,1.13337447533656,1.10811884759801,1.18880720368893,-1.33512099415309,-1.04391704651797,-1.45106272344767
04/09/1971,1.2057605800583,1.20539058863396,1.27168331950627,-1.38139140238528,-1.01662671159733,-1.4387198326186
04/16/1971,1.28027482116342,1.3475179025802,1.35753151747773,-1.43163310345815,-0.985126247629373,-1.4247983184342
04/23/1971,1.35051192448138,1.52267447821779,1.43955832361365,-1.48484427796262,-0.9498650023442,-1.40958658126088
04/30/1971,1.40936872356413,1.70804803212349,1.5102512548911,-1.5397755728725,-0.91138708788525,-1.39336039215733
05/07/1971,1.4489051467426,1.87251318597616,1.5614210577083,-1.59507921293703,-0.870329315125827,-1.37637163933028
05/14/1971,1.46050317335587,1.97995988831362,1.58422478247124,-1.64931053843196,-0.827287317161641,-1.35883883208404
05/21/1971,1.43964663778312,2.00344876058725,1.57402605309752,-1.70107474098743,-0.782902156431655,-1.34094693120252
