year,rating,country_clean,iso3,country_name,CC.EST,GE.EST,RQ.EST,RL.EST,NY.GDP.MKTP.KD.ZG,BN.CAB.XOKA.GD.ZS,NE.TRD.GNFS.ZS,GGSB_NPGDP,GGXWDG_NGDP,PCPI,REER_IX_RY2010_ACW_RCPI
2015,BBB,Andorra,AND,Andorra,1.15172910690308,1.74073541164398,0.898378431797028,1.51319181919098,1.43414039522716,,,,40.955,94.737,
2016,BBB,Andorra,AND,Andorra,1.15941143035889,1.80540561676025,0.860476732254028,1.51293611526489,3.70967806978986,,,,39.773,94.337,
2017,BBB,Andorra,AND,Andorra,1.17178130149841,1.87694644927979,1.20018458366394,1.53556883335114,0.346071889630295,,,,37.854,96.777,
2018,BBB+,Andorra,AND,Andorra,1.17894005775452,1.87921941280365,1.18732905387878,1.53650796413422,1.58876549046354,,,,36.344,97.741,
2019,BBB+,Andorra,AND,Andorra,1.17618942260742,1.85192060470581,1.22192621231079,1.51021492481232,2.01554763848308,18.0104652921679,,,35.365,98.259,
2020,BBB+,Andorra,AND,Andorra,1.26545393466949,1.7492413520813,1.33542132377625,1.61518156528473,-11.1839399355384,15.5264238134716,,,46.353,98.35,
2021,BBB+,Andorra,AND,Andorra,1.2796870470047,1.74892807006836,1.35934960842133,1.64205121994019,8.28677879049404,15.0217984709598,,,48.614,99.999,
2022,A-,Andorra,AND,Andorra,1.27027237415314,1.49526071548462,1.39833402633667,1.48548305034637,9.56461225648184,11.6434481524489,,,38.907,106.202,
2023,A-,Andorra,AND,Andorra,1.25135612487793,1.4754387140274,1.35054576396942,1.47689890861511,2.58355480961319,14.2213295948545,,,35.467,112.157,
2024,A-,Andorra,AND,,,,,,,,,,33.234,115.604,
2025,A-,Andorra,AND,,,,,,,,,,31.725,118.127,
2012,BB-,Angola,AGO,Angola,-1.30240142345428,-0.988945424556732,-0.990437567234039,-1.30477690696716,8.50312283866612,9.64052717140429,81.9394785486361,-9.226,23.805,116.454,
2013,BB-,Angola,AGO,Angola,-1.33697164058685,-1.24288654327393,-1.0416704416275,-1.29094779491425,4.88306129688392,5.47217516826916,77.3498013716078,-11.368,29.473,126.681,
2014,BB-,Angola,AGO,Angola,-1.45822596549988,-1.05657386779785,-0.860683441162109,-1.07495403289795,4.65572356315585,-2.4421772584791,69.5801424481147,-13.945,35.274,135.927,
2015,B+,Angola,AGO,Angola,-1.42772650718689,-0.929087340831757,-0.8636714220047,-1.03065872192383,0.763177710914789,-10.018075447644,54.9793808779835,-4.499,50.386,148.377,
2016,B,Angola,AGO,Angola,-1.48399043083191,-0.971493542194366,-0.969250917434692,-1.00395023822784,-1.70053036291208,-5.15244763778543,47.0155661405313,-5.14,66.67,193.92,
2017,B,Angola,AGO,Angola,-1.44517171382904,-0.951988995075226,-1.04546654224396,-1.03998208045959,-0.149396225571834,-0.750047560666891,45.6643423539921,-6.897,60.492,251.795,
2018,B,Angola,AGO,Angola,-1.19948387145996,-1.00525164604187,-0.8006831407547,-1.00106203556061,-0.59441122698307,8.26988653763387,58.916480075976,1.331,82.541,301.218,
2019,B,Angola,AGO,Angola,-1.05461812019348,-1.1284898519516,-0.833844542503357,-1.02354824542999,-0.204680245744115,6.36332599336486,60.7148243336685,0.506,101.373,352.664,
2020,CCC,Angola,AGO,Angola,-0.93506121635437,-1.25748455524445,-0.856853485107422,-0.951058804988861,-4.04244724639663,1.48153175557465,54.3442286847189,0.073,119.145,431.227,
2021,CCC,Angola,AGO,Angola,-0.649475812911987,-1.1263599395752,-0.670014679431915,-0.983753621578217,2.10275251923413,10.557440687931,61.5262136695806,3.347,74.292,542.334,
2022,B-,Angola,AGO,Angola,-0.612375736236572,-1.02603423595428,-0.606698572635651,-1.02203571796417,4.21600258475137,8.96477515056049,55.2547732713835,0.52,56.108,658.179,
2023,B-,Angola,AGO,Angola,-0.60992020368576,-1.00890958309174,-0.761388182640076,-1.09906601905823,1.26330814020108,3.90508703150085,53.033483632308,-1.606,72.41,747.946,
2024,B-,Angola,AGO,,,,,,,,,-1.526,59.913,959.105,
2025,B-,Angola,AGO,,,,,,,,,-3.155,62.366,1166.604,
2012,CC,Argentina,ARG,Argentina,-0.445909202098846,-0.206967011094093,-0.897686779499054,-0.623034238815308,-1.0264204544321,-0.39159512386959,30.5265423717108,-3.471,40.436,78.603,
2013,CC,Argentina,ARG,Argentina,-0.434306710958481,-0.254236966371536,-0.928134799003601,-0.656328618526459,2.40532378079436,-2.37749566620572,29.3339290021037,-4.03,43.496,86.95,
2014,RD,Argentina,ARG,Argentina,-0.549791395664215,-0.111114293336868,-1.0661495923996,-0.866627335548401,-2.51261532081394,-1.74400211981355,28.4067936452275,-3.833,44.697,,
2015,RD,Argentina,ARG,Argentina,-0.581265270709991,-0.0494756102561951,-0.898022353649139,-0.74863588809967,2.73115982828944,-2.96292666513533,22.4862260889792,-6.476,52.563,,
2016,B,Argentina,ARG,Argentina,-0.299235552549362,0.218796372413635,-0.347571164369583,-0.320159524679184,-2.08032784377811,-2.70922168361454,26.0938878488799,-6.809,53.06,168.27,
2017,B,Argentina,ARG,Argentina,-0.309002459049225,0.135085612535477,-0.196430206298828,-0.237312033772469,2.81850297775918,-4.8399592180739,25.2896011376779,-7.165,57.028,211.473,
2018,B,Argentina,ARG,Argentina,-0.0992739275097847,0.0280606187880039,-0.195977628231049,-0.219330430030823,-2.61739646282038,-5.16055257152294,30.7625359549926,-4.567,85.246,283.959,
2019,CC,Argentina,ARG,Argentina,-0.107116244733334,-0.120795331895351,-0.453079700469971,-0.427360445261002,-2.00086100285785,-0.779998447561847,32.6306150458499,-3.534,89.84,436.015,
2020,CCC,Argentina,ARG,Argentina,-0.163570061326027,-0.254261821508408,-0.498344272375107,-0.486265957355499,-9.9004848136464,0.696935361136029,30.203698807416,-4.585,103.816,619.207,
2021,CCC,Argentina,ARG,Argentina,-0.422596842050552,-0.390557259321213,-0.631172716617584,-0.477947890758514,10.4418119882506,1.36154422203441,33.078689567466,-3.661,81.043,918.961,
2022,CCC-,Argentina,ARG,Argentina,-0.447221606969833,-0.28348970413208,-0.697565734386444,-0.482351809740067,6.02074537534855,-0.62525456692328,31.5801792606256,-4.998,84.303,1584.572,
2023,CC,Argentina,ARG,Argentina,-0.360883951187134,-0.377517342567444,-0.482535392045975,-0.410826534032822,-1.85578803046339,-3.1951463789585,26.6769512482215,-5.447,154.601,3699.8,
2024,CC,Argentina,ARG,,,,,,,,,1.555,84.653,11835.086,
2025,CC,Argentina,ARG,,,,,,,,,1.503,78.841,16718.563,
2012,BB-,Armenia,ARM,Armenia,-0.588001489639282,-0.0323866233229637,0.334273397922516,-0.418281972408295,7.20000000096486,-9.96233164214969,75.9616759606704,,41.225,88.549,95.0621861294832
2013,BB-,Armenia,ARM,Armenia,-0.53053343296051,0.0783172845840454,0.23518268764019,-0.340888947248459,3.3,-7.31624657065382,77.5550481598824,,41.598,93.609,96.8466121437537
2014,BB-,Armenia,ARM,Armenia,-0.565446794033051,-0.257329761981964,0.15851990878582,-0.417726755142212,3.60000000058993,-7.76786633240123,75.778866962639,,43.631,96.436,100.977963217088
2015,B+,Armenia,ARM,Armenia,-0.609746634960175,-0.331789612770081,0.189176842570305,-0.462551325559616,3.19999999896625,-2.66180705584757,71.6820743427575,,48.276,100.0,103.999589320565
2016,B+,Armenia,ARM,Armenia,-0.659795224666595,-0.31255441904068,0.20515838265419,-0.160894498229027,0.199999999825991,-0.956577968660226,76.0779674593548,,56.476,98.576,102.619730609786
2017,B+,Armenia,ARM,Armenia,-0.637015163898468,-0.251550018787384,0.228397324681282,-0.209393918514252,7.50000000164144,-1.26072402014699,87.202376539837,,58.093,99.502,99.3139610504646
2018,B+,Armenia,ARM,Armenia,-0.409369438886642,-0.170582666993141,0.350590288639069,-0.197214365005493,5.19999999965324,-7.2281230237955,92.473107021212,,56.069,102.003,98.8936361547353
2019,BB-,Armenia,ARM,Armenia,-0.227039858698845,-0.226045966148376,0.242604270577431,-0.177464514970779,7.59999999853918,-7.05686573000043,97.847004865327,,54.152,103.488,102.395296243955
